algoritmo,dataset,clasificador,tamano_poblacion,generaciones,tasa_mutacion,tasa_exito,num_pares_medios,dist_l2_media,features_cambiadas_media,tiempo_ejecucion_medio,generaciones_convergencia_media,historial_fitness,muestras,ancho_banda,max_iters,score_seleccion
gs,diabetes,arbol_decision,,,,1.0,30.0,5.694719290984359,2.166666666666667,1.031400203704834,1.0,[5.6947 ... 5.6947],300.0,0.8,60.0,0.9362179685045724
gs,diabetes,arbol_decision,,,,1.0,30.0,5.50764596974601,2.3,0.9692790508270264,1.0,[5.5076 ... 5.5076],300.0,0.5,60.0,0.9361587649321624
gs,diabetes,svm,,,,1.0,30.0,2.778954531298001,2.4,1.6401057243347168,1.0,[2.7790 ... 2.7790],100.0,0.8,60.0,0.9359127276946515
gs,diabetes,arbol_decision,,,,1.0,30.0,6.033148905197679,2.35,0.8014847040176392,1.0,[6.0331 ... 6.0331],100.0,0.8,40.0,0.9358898216234398
gs,diabetes,arbol_decision,,,,1.0,30.0,5.564204285281216,2.3666666666666667,1.0057642459869385,1.0,[5.5642 ... 5.5642],500.0,0.8,60.0,0.9345874825277036
gs,diabetes,arbol_decision,,,,1.0,30.0,6.033148905197679,2.35,0.9664962291717529,1.0,[6.0331 ... 6.0331],100.0,0.8,60.0,0.9335413942999711
gs,diabetes,arbol_decision,,,,1.0,30.0,5.532928651925708,2.5166666666666666,1.0223294496536255,1.0,[5.5329 ... 5.5329],500.0,0.5,60.0,0.9325976625069923
gs,diabetes,arbol_decision,,,,1.0,30.0,5.89533516771011,2.35,1.0999037027359009,1.0,[5.8953 ... 5.8953],100.0,0.5,60.0,0.9321756404979963
gs,diabetes,svm,,,,1.0,30.0,2.6368789967889668,2.6333333333333333,1.866015076637268,1.0,[2.6369 ... 2.6369],100.0,0.5,60.0,0.9303303090490217
gs,diabetes,svm,,,,0.9833333333333333,29.5,2.54472166302957,2.3942528735632185,1.6591014862060547,1.0,[2.5447 ... 2.5447],100.0,0.8,20.0,0.9299532684938506
gs,diabetes,arbol_decision,,,,0.9666666666666667,29.0,4.93819690533042,2.3275862068965516,1.023018479347229,1.0,[4.9382 ... 4.9382],300.0,0.5,40.0,0.923917692980166
gs,diabetes,svm,,,,0.9833333333333333,29.5,2.4204467314530076,2.668390804597701,1.9111604690551758,1.0,[2.4204 ... 2.4204],100.0,0.5,40.0,0.9234198034411073
gs,diabetes,arbol_decision,,,,0.9666666666666667,29.0,5.292019329752061,2.344827586206897,0.9651256799697876,1.0,[5.2920 ... 5.2920],100.0,0.5,40.0,0.9231579660978432
gs,diabetes,arbol_decision,,,,0.9666666666666667,29.0,4.9439588396883085,2.4482758620689653,1.117217779159546,1.0,[4.9440 ... 4.9440],500.0,0.5,40.0,0.9210461575734102
gs,diabetes,svm,,,,0.95,28.5,2.0878033630866417,2.5160098522167487,1.8081213235855103,1.0,[2.0878 ... 2.0878],100.0,0.5,20.0,0.9147439152121815
gs,diabetes,svm,,,,1.0,30.0,2.43566391586325,2.466666666666667,3.164077877998352,1.0,[2.4357 ... 2.4357],300.0,0.8,60.0,0.9147177874174137
gs,diabetes,svm,,,,1.0,30.0,2.43566391586325,2.466666666666667,3.251853823661804,1.0,[2.4357 ... 2.4357],300.0,0.8,40.0,0.9134685690434435
gs,diabetes,arbol_decision,,,,0.9166666666666666,27.5,4.533793219659952,2.1607142857142856,0.7737865447998047,1.0,[4.5338 ... 4.5338],300.0,0.8,20.0,0.9111143536017697
gs,diabetes,svm,,,,0.9833333333333333,29.5,2.193716176916391,2.474712643678161,3.152760863304138,1.0,[2.1937 ... 2.1937],300.0,0.8,20.0,0.9090471540765563
gs,diabetes,arbol_decision,,,,0.9166666666666666,27.5,4.339261910981196,2.322751322751323,0.8984962701797485,1.0,[4.3393 ... 4.3393],500.0,0.8,20.0,0.90806623357312
gs,diabetes,svm,,,,1.0,30.0,2.3436602823576567,2.4,3.9798531532287598,1.0,[2.3437 ... 2.3437],300.0,0.5,60.0,0.9042968423792946
gs,diabetes,svm,,,,1.0,30.0,2.3436602823576567,2.4,4.017041087150574,1.0,[2.3437 ... 2.3437],300.0,0.5,40.0,0.9037675874678952
gs,diabetes,svm,,,,0.9833333333333333,29.5,2.194397897335154,2.836206896551724,3.328307032585144,1.0,[2.1944 ... 2.1944],100.0,0.2,60.0,0.9020274845777193
gs,diabetes,arbol_decision,,,,0.9,27.0,4.574522079243306,2.4354395604395602,0.747810959815979,1.0,[4.5745 ... 4.5745],100.0,0.8,20.0,0.9012258155876036
gs,diabetes,svm,,,,0.9666666666666667,29.0,1.9511040603717622,2.321428571428571,3.9991570711135864,1.0,[1.9511 ... 1.9511],300.0,0.5,20.0,0.8931888275524559
gs,diabetes,svm,,,,1.0,30.0,2.4198601256643686,2.8166666666666664,4.741562128067017,1.0,[2.4199 ... 2.4199],500.0,0.8,40.0,0.8879533001585204
gs,diabetes,svm,,,,1.0,30.0,2.4198601256643686,2.8166666666666664,4.8196446895599365,1.0,[2.4199 ... 2.4199],500.0,0.8,60.0,0.8868420370468975
gs,diabetes,svm,,,,0.9333333333333333,28.0,1.7732313862491407,2.6883780332056193,3.6686651706695557,1.0,[1.7732 ... 1.7732],100.0,0.2,40.0,0.8806599379814485
gs,diabetes,svm,,,,0.9833333333333333,29.5,2.177914497860333,2.8477011494252875,4.908112168312073,1.0,[2.1779 ... 2.1779],500.0,0.8,20.0,0.8794639164104846
gs,diabetes,arbol_decision,,,,0.85,25.5,3.4637394701737962,2.3753846153846156,1.4352444410324097,1.0,[3.4637 ... 3.4637],500.0,0.2,60.0,0.8764881098376979
gs,diabetes,arbol_decision,,,,0.8333333333333334,25.0,3.532108736817773,2.059294871794872,1.432638168334961,1.0,[3.5321 ... 3.5321],100.0,0.2,60.0,0.8735452920056185
gs,diabetes,svm,,,,0.9833333333333333,29.5,2.1721835979876674,2.857471264367816,5.331032395362854,1.0,[2.1722 ... 2.1722],500.0,0.5,20.0,0.8733449919256807
gs,diabetes,svm,,,,1.0,30.0,2.4168030216823437,2.8166666666666664,5.902384161949158,1.0,[2.4168 ... 2.4168],500.0,0.5,40.0,0.8714444194522767
gs,diabetes,arbol_decision,,,,0.8333333333333334,25.0,3.3532924642155413,2.2756410256410255,1.4670370817184448,1.0,[3.3533 ... 3.3533],300.0,0.2,60.0,0.8710428366251289
gs,diabetes,svm,,,,1.0,30.0,2.4168030216823437,2.8166666666666664,5.9948320388793945,1.0,[2.4168 ... 2.4168],500.0,0.5,60.0,0.8701287106254121
gs,diabetes,svm,,,,0.8666666666666667,26.0,1.552336127132353,2.5696296296296293,2.9300875663757324,1.0,[1.5523 ... 1.5523],100.0,0.2,20.0,0.8668431293402556
gs,diabetes,arbol_decision,,,,0.8,24.0,3.1206187201228692,2.339130434782609,0.8722008466720581,1.0,[3.1206 ... 3.1206],500.0,0.5,20.0,0.8662812202059593
gs,diabetes,arbol_decision,,,,0.8,24.0,3.144918508246282,2.393913043478261,0.8859999179840088,1.0,[3.1449 ... 3.1449],300.0,0.5,20.0,0.8653060900068457
gs,diabetes,arbol_decision,,,,0.7833333333333333,23.5,3.1516776086372644,2.3109090909090906,0.7359857559204102,1.0,[3.1517 ... 3.1517],100.0,0.5,20.0,0.8617858235331621
gs,diabetes,arbol_decision,,,,0.7833333333333333,23.5,3.066369044826307,2.02,1.2257276773452759,1.0,[3.0664 ... 3.0664],100.0,0.2,40.0,0.8587820944931991
gs,diabetes,svm,,,,0.9833333333333333,29.5,2.049434480336957,2.2040229885057467,7.182145118713379,1.0,[2.0494 ... 2.0494],300.0,0.2,60.0,0.8556428835778798
gs,diabetes,svm,,,,0.9166666666666666,27.5,1.5750926748123066,1.982804232804233,5.791125416755676,1.0,[1.5751 ... 1.5751],300.0,0.2,20.0,0.8533724523917561
gs,diabetes,arbol_decision,,,,0.7666666666666667,23.0,2.7962163145845307,2.2038095238095234,1.1962729692459106,1.0,[2.7962 ... 2.7962],300.0,0.2,40.0,0.8512816115859592
gs,diabetes,arbol_decision,,,,0.7666666666666667,23.0,2.7796742415685225,2.4171428571428573,1.214410662651062,1.0,[2.7797 ... 2.7797],500.0,0.2,40.0,0.8484207747540362
gs,diabetes,svm,,,,0.95,28.5,1.7414529590792578,2.070812807881773,7.7614006996154785,1.0,[1.7415 ... 1.7415],300.0,0.2,40.0,0.8369216506315081
gs,diabetes,svm,,,,0.9833333333333333,29.5,2.0205944537204363,2.3902298850574715,10.539703965187073,1.0,[2.0206 ... 2.0206],500.0,0.2,60.0,0.8056423761803226
gs,diabetes,svm,,,,0.95,28.5,1.7184818928416141,2.229064039408867,10.397751212120056,1.0,[1.7185 ... 1.7185],500.0,0.2,40.0,0.7975120593975707
