N,t_gs,l2_gs,ex_gs,t_ga,l2_ga,ex_ga,t_mem,l2_mem,ex_mem
5,0.054155588150024414,0.5900614034713344,1.0,0.40117526054382324,0.26651599580755997,1.0,0.44741320610046387,0.12691857339900217,1.0
10,0.08779573440551758,0.47189074545892773,1.0,0.4176790714263916,0.4745417245433415,1.0,0.4965834617614746,0.20983191191097333,1.0
20,0.17438054084777832,0.4657378110408863,1.0,0.41005539894104004,0.4733883097211615,0.55,0.5012400150299072,0.2198121196662224,0.55
30,0.26415109634399414,0.41517729248311513,1.0,0.4072577953338623,0.616906304146347,0.3,0.5152881145477295,0.22612690779247632,0.3
40,0.4078867435455322,0.4283074671839273,1.0,0.3978421688079834,0.5008357869448146,0.25,0.4991323947906494,0.2926580287092663,0.275
50,0.44457435607910156,0.4573548328060506,1.0,0.3961360454559326,0.4192812065852409,0.18,0.5023062229156494,0.21000371377912366,0.22
